 ms_accelerometer_x, ms_accelerometer_y, ms_accelerometer_z,outcome
1.0581055,0.096435554,0.11303711,NQ
0.71850586,0.23388673,0.22070314,NQ
0.71850586,0.23388673,0.22070314,NQ
0.9602051,0.19042969,0.05126953,NQ
0.9602051,0.19042969,0.05126953,NQ
0.9350586,0.12719727,-0.030029297,NQ
0.9350586,0.12719727,-0.030029297,NQ
0.9111328,0.19189453,-0.025878906,NQ
0.9638672,0.2590332,0.033447266,NQ
0.9680176,0.2878418,0.1789551,NQ
0.95336914,0.29370117,0.09448242,NQ
0.9682617,0.44458008,0.054443363,NQ
0.9743653,0.36547852,0.10498047,NQ
0.93725586,0.46289063,0.14941406,NQ
0.8806153,0.41015625,0.115234375,NQ
0.878418,0.34887695,0.08032227,NQ
0.79931647,0.21166992,0.26757813,NQ
0.8317871,0.14550781,0.23022462,NQ
0.7980957,0.12646484,0.23852539,NQ
0.87060547,0.09033203,0.22143556,NQ
1.2868652,-0.080078125,0.26098633,NQ
1.2648926,-0.046875,0.31298828,NQ
1.0788574,0.04248047,0.31933594,NQ
0.9506836,-0.035888672,0.2902832,NQ
0.9050293,0.022705078,0.26879883,NQ
0.59155273,0.486084,0.09667969,NQ
0.53393555,-0.022949219,0.23315431,NQ
0.857666,0.8212891,0.4523926,NQ
0.97021484,0.61108404,0.46997073,NQ
1.135498,0.2770996,0.35595703,NQ
0.8017578,0.13012695,0.345459,NQ
0.911377,-0.108886726,0.3015137,NQ
0.76562506,0.16943361,0.4223633,NQ
0.82470703,0.087402344,0.4121094,NQ
0.84814453,0.052001953,0.43164063,NQ
0.87524414,0.006591797,0.43041995,NQ
0.8879395,0.013183594,0.43310547,NQ
0.864502,-0.002685547,0.4584961,NQ
0.7998047,-0.017578125,0.49536133,NQ
0.7963868,-0.03540039,0.71801764,NQ
0.8745117,0.032958984,0.48388675,NQ
0.8730469,-0.046875,0.53100586,NQ
0.8730469,-0.046875,0.53100586,NQ
1.0012207,0.18652344,0.42578125,NQ
0.8083496,0.32592773,0.5371094,NQ
0.8486328,-0.03515625,0.6430664,NQ
0.71191406,0.17578125,0.51953125,NQ
0.7194825,0.077392586,0.3605957,NQ
0.7194825,0.077392586,0.3605957,NQ
0.7194825,0.077392586,0.3605957,NQ
0.7194825,0.077392586,0.3605957,NQ
0.7060547,-0.01879883,0.34423828,NQ
0.72167975,-0.03100586,0.33032227,NQ
0.803711,0.10009766,0.40673828,NQ
0.83325195,0.017822266,0.4345703,NQ
0.85180664,-0.015136719,0.4177246,NQ
0.85180664,-0.015136719,0.4177246,NQ
0.92602545,0.11108399,0.54589844,NQ
0.92407227,0.1760254,0.46362305,NQ
0.89331055,0.18896484,0.4621582,NQ
0.8410645,0.087890625,0.4621582,NQ
0.8508301,0.06640625,0.39648438,NQ
0.8449707,0.048583988,0.3813477,NQ
